time,r,Rn_mean_Wm2,H_mean_Wm2,LE_mean_Wm2,G_mean_Wm2,Residual_mean_Wm2,Closure_frac,Residual_frac_of_Rn,area_m2,perimeter_m,area_ha,area_acres,centroid_x,centroid_y,centroid_out_x,centroid_out_y,centroid_lon,centroid_lat,layer,ET_mean_mmhr,ET_sum_mm
2023-09-27T00:00:00,0.9,-56.1572144,6.548180133333334,-660.6590295399999,2.7445001533333335,595.2091348533331,11.598978977371306,-10.598978977371305,50462.5,943.7615433949898,5.04625,12.469555319681938,589012.2685119038,4442359.688299554,589012.4851353625,4442359.009078328,-109.95528384670195,40.126851517388054,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-09-28T00:00:00,0.9,82.14510220005286,6.129002770833334,-1007.2377066965278,-205.82872460833335,1289.0825307340806,-14.69274973442362,15.69274973442362,43762.5,825.477272147528,4.37625,10.813949262870068,589015.27951934,4442345.131711269,589015.4961136044,4442344.452482194,-109.95525052041519,40.12672007135016,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-09-29T00:00:00,0.9,81.19915604166667,5.4474570625,-799.2271707375002,1.7812897020833336,873.1975800145835,-9.753776548693553,10.753776548693555,56562.5,1039.1168824543174,5.65625,13.97689814752558,589057.2179772555,4442305.54819335,589057.434503807,4442304.868849843,-109.95476383877222,40.12635905779315,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-09-30T00:00:00,0.9,44.55406383333334,5.925786854166667,-1007.9145024999999,2.3493920708333333,1044.1933874083334,-22.43654646890179,23.43654646890179,45087.5,959.1168824543172,4.50875,11.141363893508235,589036.8132857439,4442325.667969548,589037.0298470042,4442324.988681732,-109.95500050892697,40.12654245985261,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-01T00:00:00,0.9,22.431008158333338,10.150519645833334,-1199.5462867570834,2.48228813125,1209.3444871383333,-52.91396046945175,53.91396046945175,40962.5,845.9797974644686,4.09625,10.122054194351675,589022.6156460905,4442304.644922152,589022.8321588171,4442303.965674076,-109.95517001605288,40.126354585416685,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-02T00:00:00,0.9,92.26433085416666,9.976813395833332,-998.9565139229165,1.7768868291666664,1079.4671445520833,-10.699723333584817,11.699723333584817,39387.5,805.4772721475279,3.93875,9.732863218310078,589032.1230663763,4442336.130819725,589032.3396477372,4442335.451544532,-109.95505410473231,40.12663720695872,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-03T00:00:00,0.9,70.69469604166666,7.999400729166666,-1000.361434975,1.0929365479166666,1061.9637937395833,-14.021831243374663,15.021831243374661,27037.5,702.3401871576788,2.70375,6.681111755380735,589008.9594823858,4442336.384692212,589009.1760563161,4442335.705480807,-109.95532589171306,40.126641946380964,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-04T00:00:00,0.9,75.44031754166666,8.542406520833334,-2048.519652366667,1.4596446354166666,2113.9579187520835,-27.02159359396277,28.02159359396277,26537.5,689.9137802864858,2.65375,6.55755906457388,589006.2422652643,4442350.166911042,589006.458866886,4442349.487706694,-109.95535587729844,40.12676638569845,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-05T00:00:00,0.9,76.248006125,8.184912916666667,-3306.5074559964582,1.2219653041666667,3373.348583900625,-43.24179405256054,44.24179405256054,41312.5,930.8326112068552,4.13125,10.208541077916474,589030.246034526,4442355.725973534,589030.4626559151,4442355.046702949,-109.95507342846665,40.12681392089322,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-06T00:00:00,0.9,85.96350127083333,8.07165475,-1626.663378,3.0446671104166665,1701.5105574104166,-18.793406879155633,19.793406879155633,40637.5,895.4772721475273,4.06375,10.041744945327217,589030.9797837365,4442338.730279637,589031.1963701005,4442338.051007519,-109.95506716244246,40.1266607442264,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-07T00:00:00,0.9,80.27729687499999,7.662079375,-596.7658263749998,1.7612370645833335,667.6198068104165,-7.3164211152995,8.316421115299502,32987.5,838.4062043356618,3.29875,8.151388775982321,589041.8753437719,4442361.886899467,589042.0919819281,4442361.2075967025,-109.95493610954604,40.12686818763896,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-08T00:00:00,0.9,84.3017338125,7.611714958333333,-584.2537301145834,2.8057824312500004,658.1379665375,-6.806932749465153,7.806932749465152,41137.5,944.2640687119308,4.11375,10.165297636134074,589033.6071279775,4442352.750418173,589033.8237443423,4442352.071138419,-109.9550343967967,40.12678676086978,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-09T00:00:00,0.9,77.52296308333334,5.7099993125,-385.1713125125,3.33672331875,453.64755296458327,-4.851782941745076,5.851782941745076,30837.5,755.9797974644691,3.08375,7.620112205512841,589026.110207213,4442371.874250002,589026.3268607052,4442371.1949903285,-109.95511973458913,40.12695982417089,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-10T00:00:00,0.9,78.22483452083333,5.961352166666667,-390.3017443333333,3.10534708125,459.45987960624996,-4.873580716669765,5.873580716669765,51812.5,930.8326112068554,5.18125,12.803147584860447,589036.6503740054,4442353.328063251,589036.8669926117,4442352.648775107,-109.95499860489109,40.12679164208921,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-11T00:00:00,0.9,53.746114750000004,7.9196723958333335,80.7568916875,3.4841070916666665,-38.414556425,1.7147410860056633,-0.7147410860056633,18012.5,533.3452377915615,1.80125,4.450985686316986,588993.8557053647,4442351.721195326,588994.072305969,4442351.042025024,-109.9555010181225,40.126781698021425,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-12T00:00:00,0.9,87.17588104166667,6.640177145833334,-324.3010818958334,1.4144103249999997,403.4223754666668,-3.627683375793433,4.627683375793433,18637.5,671.6295090390239,1.86375,4.605426549825555,589011.9115149694,4442335.802954753,589012.1280887059,4442335.123735236,-109.95529133017726,40.1266363935096,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-13T00:00:00,0.9,87.36997138543848,5.98667975,-1007.5931198729166,3.0898619874999995,1085.8865495208552,-11.428601409635284,12.428601409635284,35362.5,828.9087296526035,3.53625,8.738264057314888,589098.8500550118,4442309.351032434,589099.0666038216,4442308.6715740515,-109.95427476828105,40.12638890343371,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-14T00:00:00,0.9,42.16860223307081,5.507801125,-1022.6331854416667,2.7882601249999994,1056.5057264247375,-24.0543217103879,25.0543217103879,30837.5,815.9797974644688,3.08375,7.620112205512841,589030.4552281563,4442352.998422409,589030.6718439554,4442352.319151323,-109.95507134984655,40.12678932867903,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-15T00:00:00,0.9,67.40276883714932,5.513430354166666,-1009.8305386062499,2.2703187375000002,1069.4495583517325,-14.86655232124976,15.86655232124976,37037.5,814.2640687119307,3.70375,9.152165571517855,589030.5904720323,4442342.473084193,589030.8070660308,4442341.793813039,-109.95507121467683,40.126694501021916,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-16T00:00:00,0.9,63.64090516560727,5.870158479166666,-803.5476519629168,1.5708416812500001,859.7475569681073,-12.509354631755473,13.509354631755473,44862.5,879.6194077712589,4.48625,11.08576518264515,589025.7628585347,4442348.692925457,589025.979463788,4442348.013667416,-109.95512700826959,40.12675104117962,daily_mean_r90,-0.9707008955921244,-7.280256716940933
2023-10-17T00:00:00,0.9,57.04127417079334,5.688066541666667,-586.7736012229166,2.1051399875,636.0216688645432,-10.150200939764478,11.15020093976448,45637.5,868.4062043356622,4.56375,11.277271853395778,589028.4171476421,4442330.534308504,589028.6337161132,4442329.855043682,-109.95509836524002,40.12658718542267,daily_mean_r90,-0.9707008955921244,-7.280256716940933
