datetime_start,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,FC_SSITC_TEST,LE,LE_SSITC_TEST,ET,ET_SSITC_TEST,H,H_SSITC_TEST,G,SG,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,WD,WS,WS_MAX,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,SWC_1_1_1,ALB,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,P,file_no,TA_1_2_1,RH_1_2_1,T_DP_1_2_1,TA_1_3_1,RH_1_3_1,T_DP_1_3_1,TA_1_4_1,PBLH_F,TS_2_1_1,SWC_2_1_1
2024-06-24 19:30:00,202406241930,202406242000,496.2029,32.51862,25.17938,1.36632,5.910381,-9999.0,10.19748,-9999.0,0.01501284,2,-2.390909,-9999.0,-20.44109,-25.23116,1.888284,54.39782,9.827811,5.368514,342.3839,0.7097176,1.869882,0.0699437,0.1521483,-0.00473704,-9999.0,14.28955,0.2121972,0.5943711,0.0,0.47754,0.0,0.05564244,83.2153,23.89269,68.91634,17.79752,8.327887,25.65839,0.6022193,21.77439,-9999.0,42.35543,-22.29613,17.53311,8.659879,398.565,429.7343,0.0,2.0,23.31667,71.2805,17.7666,23.55053,69.28967,17.56718,23.32941,124.2278,22.00536,21.51666
2024-06-24 20:00:00,202406242000,202406242030,529.987,36.86992,24.0048,1.183069,-7.19819,-9999.0,-14.42947,-9999.0,-0.02121189,2,1.136578,-9999.0,-51.2354,-53.80372,29.00577,436.0279,88.12216,58.90252,320.8787,1.188888,2.16093,0.07301683,-0.01844198,-0.005192148,-9999.0,-117.8903,1.047808,0.6022923,0.0,0.4146631,-1.862645e-09,0.0653994,83.22808,22.22146,72.73946,17.05441,6.868071,24.08392,1.202282,21.63357,-9999.0,0.0,-32.15065,-9999.0,0.5351503,391.8077,421.2051,0.0,2.0,21.86087,74.46584,17.03491,22.0238,72.64228,16.84275,21.75787,1457.472,21.72534,-9999.0
2024-06-24 20:30:00,202406242030,202406242100,496.5282,23.04301,22.22493,1.050759,12.37992,-9999.0,17.8777,-9999.0,0.02626567,2,-9.476951,-9999.0,-54.28692,-54.84563,60.40361,3197.128,309.7775,179.9166,333.5346,1.277999,2.291847,0.05760478,1.299946,-0.00324095,-9999.0,1.672477,1.147211,0.4903612,0.0,0.4651387,3.72529e-09,0.08132157,83.24914,21.64374,69.84843,15.86984,7.526441,23.47234,0.6345581,21.40451,-9999.0,0.0,-28.91791,-9999.0,1.809064,391.8965,417.6011,0.0,2.0,21.41518,70.86629,15.85761,21.42202,70.16637,15.73871,21.27171,110.5136,21.38766,-9999.0
2024-06-24 21:00:00,202406242100,202406242130,503.1214,27.66628,21.85613,1.054723,-20.40309,-9999.0,-34.90329,-9999.0,-0.05124977,2,18.41855,-9999.0,-60.52259,-59.22502,12.75981,110.4009,31.02166,21.7196,331.2384,1.241654,2.840045,0.1273859,-0.2335196,-0.01588695,-9999.0,-9.310268,1.071079,0.4837363,0.0,0.5834516,0.0,0.09430886,83.26711,21.12871,71.01365,15.61853,6.98478,22.8852,0.8856825,21.16513,-9999.0,0.0,-41.32631,-9999.0,1.934876,375.9836,412.7664,0.0,2.0,20.86562,72.26578,15.6044,20.82268,71.61315,15.46511,20.6868,1913.795,21.04451,-9999.0
2024-06-24 21:30:00,202406242130,202406242200,451.5646,9.346679,20.13589,0.6195861,11.99311,-9999.0,34.63549,-9999.0,0.050868,0,-41.95673,-9999.0,-74.17635,-70.70445,20.2865,872.4108,95.7376,56.90704,354.721,2.209699,4.780859,0.1793734,0.2048329,-0.03150118,-9999.0,10.61416,2.162876,0.8563277,0.0,0.414429,7.450581e-09,0.2153213,83.2876,21.41473,64.29435,14.38414,8.799025,23.0313,0.6863638,20.87818,-9999.0,0.0,-50.8461,-9999.0,2.770877,366.2912,411.5027,0.0,2.0,21.16674,65.31065,14.37103,21.05615,65.42043,14.31543,20.92819,120.2328,20.6386,-9999.0
2024-06-24 22:00:00,202406242200,202406242230,446.4572,3.45307,18.45153,0.5180827,7.030566,1.0,28.36725,2.0,0.04166017,0,-53.97904,1.0,-64.44659,-59.50334,33.66699,1775.106,172.3757,100.2788,354.5535,2.733541,4.557547,0.1653582,0.3433497,-0.02679594,1.0,6.332115,2.710994,0.4938363,0.0,0.3681533,1.490116e-08,0.2303175,83.30226,21.34781,59.25673,13.07654,9.854259,22.68743,0.6717401,20.57598,-9999.0,0.0,-51.93642,-9999.0,1.499437,363.9076,410.8606,0.0,2.0,20.97826,60.62745,13.05722,21.00944,60.3148,13.03242,20.85482,115.5784,20.25682,-9999.0
2024-06-24 22:30:00,202406242230,202406242300,447.2118,3.369182,17.42941,0.3974102,6.490925,1.0,36.61824,1.0,0.0537536,0,-46.8727,1.0,-61.5507,-55.22556,36.5874,1968.101,188.8951,109.6071,354.8809,2.724331,4.576719,0.1557926,0.3508822,-0.02383468,1.0,6.196181,2.699745,0.447667,0.0,0.3811255,0.0,0.2146297,83.31248,20.88388,57.66191,12.22687,9.967974,22.12422,0.6886738,20.32446,-9999.0,0.0,-51.51205,-9999.0,1.459115,361.5983,408.1537,0.0,2.0,20.51133,59.00637,12.20751,20.54701,58.70537,12.18632,20.40177,115.4306,19.93235,-9999.0
2024-06-24 23:00:00,202406242300,202406242330,445.8398,2.478731,16.48529,0.3817122,6.512295,1.0,49.25266,1.0,0.07227205,0,-55.5274,1.0,-60.02625,-52.37601,26.96846,78.13658,38.96008,29.42416,356.7525,2.977787,5.831364,0.2038743,0.1843242,-0.04088413,1.0,11.79514,2.952611,0.5572969,0.0,0.409734,0.0,0.2699948,83.30642,20.46594,56.00176,11.39469,10.15572,21.65012,0.6247281,20.07858,-9999.0,-9999.0,-52.65214,-9999.0,1.546409,358.5574,406.1872,0.0,2.0,20.12577,57.19684,11.3771,20.14257,57.04885,11.37516,20.03305,121.5165,19.62002,-9999.0
2024-06-24 23:30:00,202406242330,202406250000,450.1931,3.176697,15.74829,0.3530234,7.595656,1.0,46.4446,1.0,0.06808829,0,-64.82993,1.0,-56.2953,-47.39124,26.93066,78.08765,38.91561,29.38952,352.6459,3.048733,5.495387,0.2050226,0.2141105,-0.04149115,1.0,10.15424,3.022021,0.5644492,0.0,0.4212348,0.0,0.271992,83.29997,19.4762,56.92949,10.71591,9.354516,20.59492,0.7034415,19.85871,-9999.0,-9999.0,-52.69489,-9999.0,0.7864807,354.4939,402.5125,0.0,2.0,19.14302,58.13826,10.6987,19.17826,57.74639,10.65486,19.02973,119.7329,19.32719,-9999.0
2024-06-25 00:00:00,202406250000,202406250030,444.9264,2.590711,15.91927,0.3834117,7.654554,1.0,51.42087,1.0,0.0753683,0,-69.43824,1.0,-62.96466,-52.89192,27.84139,80.46104,40.19081,30.35679,355.8908,3.253785,5.549821,0.248127,0.1291267,-0.06081505,1.0,16.83719,3.223641,0.6500747,0.0,0.4621139,1.490116e-08,0.3157719,83.30443,19.27342,58.24225,10.87239,9.021764,20.47459,0.5619875,19.63157,-9999.0,-9999.0,-53.05896,-9999.0,1.99051,353.4067,401.2981,0.0,2.0,19.00773,59.22808,10.85865,18.96811,59.0461,10.79436,18.90149,126.9969,19.03902,-9999.0
2024-06-25 00:30:00,202406250030,202406250100,445.9889,2.360932,14.96237,0.4656797,9.097792,1.0,44.8175,2.0,0.06566754,0,-74.99689,1.0,-53.45829,-42.07332,27.61365,79.72359,39.84726,30.09881,357.5825,3.195706,5.753897,0.2682015,0.111562,-0.07116502,1.0,19.48808,3.162961,0.6684378,0.0,0.4847082,-1.490116e-08,0.3448416,83.30675,18.85214,56.26166,9.960063,9.118315,19.88454,0.6601422,19.40588,-9999.0,-9999.0,-52.78615,-9999.0,1.020387,351.6391,399.6522,0.0,2.0,18.50742,57.47753,9.942369,18.61833,56.87046,9.904698,18.48307,129.8784,18.77325,-9999.0
